obs_date,source,metric,value,unit,note
2024-04-30,price,close,142.81,usd,
2024-04-30,price,pct_vs_entry,-42.876,pct,entry=250.0
2024-04-30,wikipedia,pageviews,4780,count,Grand_Theft_Auto_VI
2024-05-01,price,close,142.74,usd,
2024-05-01,price,pct_vs_entry,-42.904,pct,entry=250.0
2024-05-01,wikipedia,pageviews,4791,count,Grand_Theft_Auto_VI
2024-05-02,price,close,143.07,usd,
2024-05-02,price,pct_vs_entry,-42.772,pct,entry=250.0
2024-05-02,wikipedia,pageviews,4877,count,Grand_Theft_Auto_VI
2024-05-03,price,close,145.88,usd,
2024-05-03,price,pct_vs_entry,-41.648,pct,entry=250.0
2024-05-03,wikipedia,pageviews,4465,count,Grand_Theft_Auto_VI
2024-05-04,wikipedia,pageviews,4364,count,Grand_Theft_Auto_VI
2024-05-05,wikipedia,pageviews,5026,count,Grand_Theft_Auto_VI
2024-05-06,price,close,148.34,usd,
2024-05-06,price,pct_vs_entry,-40.664,pct,entry=250.0
2024-05-06,wikipedia,pageviews,5076,count,Grand_Theft_Auto_VI
2024-05-07,price,close,148.33,usd,
2024-05-07,price,pct_vs_entry,-40.668,pct,entry=250.0
2024-05-07,wikipedia,pageviews,4478,count,Grand_Theft_Auto_VI
2024-05-08,price,close,145.97,usd,
2024-05-08,price,pct_vs_entry,-41.612,pct,entry=250.0
2024-05-08,wikipedia,pageviews,4499,count,Grand_Theft_Auto_VI
2024-05-09,price,close,145.68,usd,
2024-05-09,price,pct_vs_entry,-41.728,pct,entry=250.0
2024-05-09,wikipedia,pageviews,4762,count,Grand_Theft_Auto_VI
2024-05-10,price,close,145.88,usd,
2024-05-10,price,pct_vs_entry,-41.648,pct,entry=250.0
2024-05-10,wikipedia,pageviews,3993,count,Grand_Theft_Auto_VI
2024-05-11,wikipedia,pageviews,3610,count,Grand_Theft_Auto_VI
2024-05-12,wikipedia,pageviews,3939,count,Grand_Theft_Auto_VI
2024-05-13,price,close,143.95,usd,
2024-05-13,price,pct_vs_entry,-42.42,pct,entry=250.0
2024-05-13,wikipedia,pageviews,4393,count,Grand_Theft_Auto_VI
2024-05-14,price,close,144.96,usd,
2024-05-14,price,pct_vs_entry,-42.016,pct,entry=250.0
2024-05-14,wikipedia,pageviews,4152,count,Grand_Theft_Auto_VI
2024-05-15,price,close,148.08,usd,
2024-05-15,price,pct_vs_entry,-40.768,pct,entry=250.0
2024-05-15,wikipedia,pageviews,4036,count,Grand_Theft_Auto_VI
2024-05-16,price,close,146.08,usd,
2024-05-16,price,pct_vs_entry,-41.568,pct,entry=250.0
2024-05-16,wikipedia,pageviews,7827,count,Grand_Theft_Auto_VI
2024-05-17,price,close,147.84,usd,
2024-05-17,price,pct_vs_entry,-40.864,pct,entry=250.0
2024-05-17,wikipedia,pageviews,10560,count,Grand_Theft_Auto_VI
2024-05-18,wikipedia,pageviews,6277,count,Grand_Theft_Auto_VI
